2015-08-27 11:55:19,251 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:55:19] "GET /static/js/lib/bootstrap.js HTTP/1.1" 304 -
2015-08-27 12:13:54,965 INFO | _internal | werkzeug |  * Detected change in '/Users/holbrookm/Dropbox/PYTHON/Marc/ACTIVE/SoapEMA/live/app/main/views.py', reloading
2015-08-27 12:13:55,120 INFO | _internal | werkzeug |  * Restarting with stat
2015-08-27 12:13:55,380 DEBUG | __init__ | root | FUNC::::::: app.__init__.create_app()
2015-08-27 12:13:55,420 DEBUG | __init__ | root | FUNC::::::: app.auth.__init__
2015-08-27 12:13:55,420 DEBUG | __init__ | root | **Leaving FUNC::::::: app.auth.__init__
2015-08-27 12:13:55,421 DEBUG | __init__ | root | ** Leaving FUNC::::::: app.__init__.create_app()
2015-08-27 14:11:55,447 INFO | _internal | werkzeug |  * Detected change in '/Users/holbrookm/Dropbox/PYTHON/Marc/ACTIVE/SoapEMA/live/app/auth/views.py', reloading
2015-08-27 14:11:55,500 INFO | _internal | werkzeug |  * Restarting with stat
2015-08-27 14:11:56,122 DEBUG | __init__ | root | FUNC::::::: app.__init__.create_app()
2015-08-27 14:11:56,259 DEBUG | __init__ | root | FUNC::::::: app.auth.__init__
2015-08-27 14:13:05,575 DEBUG | __init__ | root | FUNC::::::: app.__init__.create_app()
2015-08-27 14:13:05,610 DEBUG | __init__ | root | FUNC::::::: app.auth.__init__
2015-08-27 14:13:20,818 DEBUG | __init__ | root | FUNC::::::: app.__init__.create_app()
2015-08-27 14:13:20,848 DEBUG | __init__ | root | FUNC::::::: app.auth.__init__
2015-08-27 14:13:23,819 DEBUG | __init__ | root | FUNC::::::: app.__init__.create_app()
2015-08-27 14:13:23,850 DEBUG | __init__ | root | FUNC::::::: app.auth.__init__
2015-08-27 14:13:40,569 DEBUG | __init__ | root | FUNC::::::: app.__init__.create_app()
2015-08-27 14:13:40,601 DEBUG | __init__ | root | FUNC::::::: app.auth.__init__
2015-08-27 14:14:28,851 DEBUG | __init__ | root | FUNC::::::: app.__init__.create_app()
2015-08-27 14:14:28,882 DEBUG | __init__ | root | FUNC::::::: app.auth.__init__
2015-08-27 14:14:28,893 DEBUG | __init__ | root | **Leaving FUNC::::::: app.auth.__init__
2015-08-27 14:14:28,894 DEBUG | __init__ | root | ** Leaving FUNC::::::: app.__init__.create_app()
2015-08-27 14:14:28,933 INFO | _internal | werkzeug |  * Running on http://0.0.0.0:4400/ (Press CTRL+C to quit)
2015-08-27 14:14:28,946 INFO | _internal | werkzeug |  * Restarting with stat
2015-08-27 14:14:29,238 DEBUG | __init__ | root | FUNC::::::: app.__init__.create_app()
2015-08-27 14:14:29,269 DEBUG | __init__ | root | FUNC::::::: app.auth.__init__
2015-08-27 14:14:29,277 DEBUG | __init__ | root | **Leaving FUNC::::::: app.auth.__init__
2015-08-27 14:14:29,278 DEBUG | __init__ | root | ** Leaving FUNC::::::: app.__init__.create_app()
2015-08-27 14:14:58,064 DEBUG | views | root | FUNC::::::: app.main.route.index
2015-08-27 14:14:58,065 DEBUG | views | root | ** Leaving FUNC::::::: app.main.route.index
2015-08-27 14:14:58,138 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:14:58] "GET / HTTP/1.1" 500 -
2015-08-27 14:14:58,166 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:14:58] "GET /?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
2015-08-27 14:14:58,207 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:14:58] "GET /?__debugger__=yes&cmd=resource&f=jquery.js HTTP/1.1" 200 -
2015-08-27 14:14:58,213 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:14:58] "GET /?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
2015-08-27 14:14:58,280 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:14:58] "GET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
